row	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	disagreement_score
34	1	0	t9	Global warming is mainly caused by human activity.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	neutral	0.0025484994839782	0.8639366695524816	0.1335148309635399	1_0_t9	False	-4.754887502163468
35	1	1	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees				1_1_s0	False	-24.0
36	1	1	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	agrees	neutral	agrees	agrees	neutral	agrees	agrees				1_1_s1	False	-4.754887502163468
37	1	1	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_1_s2	False	-24.0
38	1	1	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees				1_1_s3	False	-24.0
39	1	1	s4	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_1_s4	False	-24.0
40	1	1	t0	Across the entire Arctic, forests are burning at a rate unseen in at least 10,000 years.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	0.003266759886861	0.4076832684212108	0.5890499716919282	1_1_t0	False	-4.0
41	1	1	t1	Tackling climate change will be the greatest global health opportunity of the 21st century .	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0012291233463648	0.992295097009261	0.0064757796443741	1_1_t1	False	-5.825742227201615
42	1	1	t10	Putting a price on carbon dioxide emissions would be central for getting global warming under control.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007715970906517	0.9980212159551918	0.0012071869541565	1_1_t10	False	-24.0
43	1	1	t11	Humans are causing global warming.	agrees	agrees	agrees	agrees	neutral	agrees	agrees	agrees	0.0022384407165717	0.9454035205578876	0.0523580387255407	1_1_t11	False	-5.825742227201615
44	1	1	t12	There’s no sign of global warming hurting productivity yet.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9643325012734868	0.0019833523593172	0.0336841463671959	1_1_t12	False	-5.825742227201615
45	1	1	t13	The net effect will be a general and global warming of the earth.	agrees	agrees	agrees	agrees	agrees	neutral	neutral	agrees	0.0026440220980772	0.8886470522706695	0.1087089256312532	1_1_t13	False	-4.754887502163468
46	1	1	t14	There is no scientific proof that human emissions of carbon dioxide (CO2) are the dominant cause of the minor warming of the Earth’s atmosphere over the past 100 years.	disagrees	disagrees	disagrees	disagrees	disagrees	agrees	disagrees	disagrees	0.9942531836601328	0.0041370624552928	0.0016097538845743	1_1_t14	True	-5.825742227201615
47	1	1	t15	The West Antarctic Ice Sheet is going to go unstable.	agrees	agrees	neutral	neutral	agrees	neutral	neutral	agrees	0.0034456401568254	0.5414037597892405	0.4551506000539341	1_1_t15	False	-4.0
48	1	1	t16	The West Antarctic ice sheet could disappear in as little as 1,000 years.	agrees	neutral	agrees	neutral	agrees	neutral	agrees	neutral	0.0033137260439559	0.4595438369667025	0.5371424369893415	1_1_t16	False	-4.0
49	1	1	t17	The data isn’t lining up with the Church of Global Warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9981654167222708	0.0008019248539623	0.0010326584237667	1_1_t17	False	-24.0
50	1	1	t18	A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States).	agrees	neutral	agrees	agrees	neutral	agrees	neutral	neutral	0.0029868903457536	0.2379070491626414	0.759106060491605	1_1_t18	False	-4.0
51	1	1	t19	I am hoping that the scientists and politicians who have been blindly demonizing carbon dioxide for 37 years will one day open their eyes and look at the evidence.	disagrees	disagrees	agrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9660695654322254	0.0232653449369555	0.010665089630819	1_1_t19	True	-0.9433583328525625
52	1	1	t2	The world is in the midst of only the third global coral bleaching event ever recorded.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	agrees	0.0278317624376946	0.19101319751939	0.7811550400429155	1_1_t2	False	-0.30998015622252084
53	1	1	t20	The level of carbon dioxide in the atmosphere has never been higher.	agrees	neutral	agrees	agrees	neutral	neutral	agrees	agrees	0.0034027788211258	0.6828744531196944	0.3137227680591796	1_1_t20	False	-4.18226398830014
54	1	1	t21	The earth’s cattle population actually produces more carbon dioxide than automobiles, planes, and all other forms of transport combined.	agrees	neutral	disagrees	neutral	neutral	disagrees	neutral	neutral	0.0515138214170903	0.0175765913769914	0.9309095872059182	1_1_t21	False	-0.30998015622252084
55	1	1	t22	There would n’t be much need for emission limits, cap and trade or carbon taxes.	disagrees	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	0.1185072473026293	0.0023622452268764	0.8791305074704943	1_1_t22	False	-4.18226398830014
56	1	1	t23	Climate alarmists’ve got it wrong on global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9981369381655548	0.0008071176430833	0.0010559441913616	1_1_t23	False	-24.0
57	1	1	t24	For-profit carbon project developers work with landowners to qualify large forests for credits.	agrees	neutral	agrees	neutral	neutral	agrees	neutral	neutral	0.002221346893924	0.0924031986474769	0.9053754544585992	1_1_t24	False	-4.18226398830014
58	1	1	t25	By now there should have been global warming equivalent to 2.8 degrees / century.	disagrees	disagrees	agrees	disagrees	neutral	neutral	neutral	disagrees	0.6131910194449077	0.039498486493238	0.3473104940618543	1_1_t25	False	-0.025062498798072874
59	1	1	t26	Climate change models predict a 15 year period of global cooling.	agrees	neutral	neutral	disagrees	neutral	neutral	neutral	agrees	0.0471716726509694	0.1243877704437837	0.8284405569052469	1_1_t26	False	-0.30998015622252084
60	1	1	t27	Data on how sea levels are rising, relied upon by the United Nations, is adjusted upward in “ arbitrary ” ways.	neutral	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	0.9610785858859336	0.0020795731433167	0.0368418409707496	1_1_t27	False	-4.754887502163468
61	1	1	t28	At that time, the scientific community had just launched the first satellites that provided images of the sea-ice cover from space.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.000461794360955	0.0005118720625118	0.9990263335765328	1_1_t28	False	-24.0
62	1	1	t29	Air travel produces far more carbon emissions than train travel.	agrees	neutral	neutral	neutral	neutral	agrees	neutral	neutral	0.001420490669021	0.0213684204805397	0.9772110888504392	1_1_t29	True	-4.754887502163468
63	1	1	t3	The increase in extreme flood likelihood will occur prior to reaching 73-percent urbanization because of changes in climate.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0013009040571148	0.9919201125828568	0.0067789833600284	1_1_t3	False	-5.825742227201615
64	1	1	t4	The study used real-world data to show what actually happened during floods, instead of relying on a model of what “should” happen.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.000452699927933	0.0005087515417653	0.9990385485303016	1_1_t4	False	-24.0
65	1	1	t5	Global warming is occurring more slowly than computer models forecast a decade ago.	disagrees	disagrees	neutral	disagrees	neutral	disagrees	disagrees	neutral	0.6178623188610435	0.0033450737575051	0.3787926073814513	1_1_t5	False	-4.18226398830014
66	1	1	t6	It is thought that the hazardous waste would stay buried and frozen forever beneath the Greenland Ice Sheet, but climate change is warming the Arctic and causing portions of the ice sheet to melt.	agrees	agrees	agrees	agrees	agrees	neutral	agrees	agrees	0.0013054800991876	0.9918999973292156	0.0067945225715965	1_1_t6	False	-5.825742227201615
67	1	1	t7	Human emissions of greenhouse gases are causing global warming.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0007670871546221	0.9980729892665264	0.0011599235788514	1_1_t7	False	-24.0
68	1	1	t8	The impacts of long-term global warming are already being felt in coastal flooding, heat waves, intense precipitation and ecosystem change.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.00079269732272	0.9980275555748463	0.0011797471024334	1_1_t8	False	-24.0
69	1	1	t9	The value of a global push to limit the human contribution to warming exceeds the economic value of abundant fossil energy.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0598081147010686	0.6279443066650481	0.3122475786338833	1_1_t9	False	-0.30998015622252084
70	1	2	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees				1_2_s0	False	-5.825742227201615
71	1	2	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	neutral	agrees	neutral	agrees	agrees	neutral	neutral				1_2_s1	False	-4.0
72	1	2	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	agrees	neutral	neutral	neutral	neutral				1_2_s2	False	-5.825742227201615
73	1	2	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees				1_2_s3	False	-5.825742227201615
74	1	2	s4	Some icebergs are cute.	neutral	neutral	neutral	disagrees	neutral	neutral	neutral	neutral				1_2_s4	False	-5.825742227201615
75	1	2	t0	Global warming is not expected to end anytime soon.	agrees	neutral	agrees	neutral	neutral	agrees	agrees	neutral	0.0041346492203194	0.7670870621351137	0.2287782886445668	1_2_t0	True	-4.0
76	1	2	t1	Hopefully, now that scientists are aware of this discrepancy this discrepancy, this discrepancy can be addressed in future models of disappearing ice.	neutral	agrees	neutral	agrees	neutral	agrees	neutral	neutral	0.00379024658158	0.1413747369930409	0.8548350164253791	1_2_t1	False	-4.18226398830014
77	1	2	t10	A clear switch away from fossil fuels is now on the cards.	neutral	neutral	agrees	agrees	neutral	neutral	neutral	neutral	0.0026834805892495	0.0376628415505745	0.959653677860176	1_2_t10	False	-4.754887502163468
78	1	2	t11	Human-caused global warming threatens to undermine the past 50 years of gains in public health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006090952273415	0.9989791913934812	0.0004117133791771	1_2_t11	False	-24.0
79	1	2	t12	The science of anthropogenic global warming is settled.	neutral	neutral	agrees	neutral	neutral	neutral	neutral	neutral	0.0023367156744911	0.0279432911361575	0.9697199931893512	1_2_t12	False	-5.825742227201615
80	1	2	t13	This work bolsters the view of scientists who’ve been calling for a conservation strategy for polar bears and other ice-dependent species focused on areas of the Arctic where sea ice is projected to endure well into this greenhouse-heated era.	neutral	neutral	agrees	agrees	neutral	agrees	agrees	neutral	0.0046855615588694	0.4769434271292356	0.5183710113118949	1_2_t13	False	-4.0
81	1	2	t14	In the very act of inventing tools to improve the environment, we will come closer to understanding our place on the planet, as well as in a global society of creatures like ourselves.	neutral	neutral	agrees	neutral	neutral	agrees	neutral	neutral	0.0039582318615907	0.1608811717038171	0.8351605964345922	1_2_t14	False	-4.754887502163468
82	1	2	t15	Since 1978, the winter Arctic ice cap has shrunk by 12 percent per decade.	agrees	neutral	agrees	neutral	agrees	neutral	neutral	neutral	0.004749077428469	0.4853698158183292	0.509881106753202	1_2_t15	False	-4.18226398830014
83	1	2	t16	Climate change has the potential to set back global health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006369258756478	0.9989538283361066	0.0004092457882455	1_2_t16	False	-24.0
84	1	2	t17	They are too pessimistic about the chances of limiting global warming.	neutral	agrees	neutral	agrees	agrees	agrees	agrees	neutral	0.0044528780996414	0.7120077223253239	0.2835393995750347	1_2_t17	False	-4.18226398830014
85	1	2	t18	Global temperature increases have been far, far less than doomsday computer models predicted – about three times smaller.	disagrees	neutral	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	0.9913970856756336	0.0013719494562039	0.0072309648681623	1_2_t18	False	-4.754887502163468
86	1	2	t19	Global warming may be occurring more slowly than earlier thought, and that previous climate models may have been on the hot side.	disagrees	neutral	neutral	agrees	disagrees	disagrees	disagrees	neutral	0.8697470514691804	0.0057532213141733	0.1244997272166463	1_2_t19	False	-0.025062498798072874
87	1	2	t2	Recent global warming is not only manmade but dangerous.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0007972649192681	0.9983192702317648	0.000883464848967	1_2_t2	False	-5.825742227201615
88	1	2	t20	Global sea levels have risen approximately 8 inches over the past century, with sea-level rises getting higher in some parts of the globe.	neutral	neutral	neutral	agrees	neutral	neutral	agrees	neutral	0.0031552689359308	0.0752894809242428	0.9215552501398264	1_2_t20	False	-4.754887502163468
89	1	2	t21	This agreement sends a powerful signal that the world is fully committed to a low-carbon future.	neutral	neutral	neutral	agrees	neutral	agrees	agrees	neutral	0.0043623503432194	0.2641714891036407	0.7314661605531398	1_2_t21	False	-4.18226398830014
90	1	2	t22	People do not focus as much on 2 degrees energy increases in temperatures or increases in sea levels rising.	neutral	neutral	disagrees	agrees	neutral	disagrees	neutral	neutral	0.1955678213140698	0.007385781649472	0.7970463970364582	1_2_t22	False	-0.30998015622252084
91	1	2	t23	Global warming is really such a big deal.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	0.0007829635708597	0.9983543673881125	0.0008626690410278	1_2_t23	False	-5.825742227201615
92	1	2	t24	China had released about 900 million metric tons more carbon dioxide from 2011 to 201.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0009403624989082	0.0010847789033395	0.9979748585977524	1_2_t24	False	-24.0
93	1	2	t25	Rapid warming in the Arctic could upset these deposits, melting them and freeing the gas.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	neutral	0.0041016830402863	0.8150056397423273	0.1808926772173863	1_2_t25	False	-4.18226398830014
94	1	2	t26	Fossil fuel emissions hit an all-time high in 2017 as carbon dioxide emissions surged for the first time in three years.	neutral	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.0028523867387071	0.0537559635087335	0.9433916497525594	1_2_t26	False	-5.825742227201615
95	1	2	t27	Global warming will harm Americans.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006254757920059	0.998952880418062	0.000421643789932	1_2_t27	False	-24.0
96	1	2	t28	Reducing carbon will slow the global warming that is attributed to greenhouse gases.	agrees	neutral	agrees	disagrees	neutral	agrees	agrees	neutral	0.0078606875921522	0.7819688712937195	0.2101704411141281	1_2_t28	False	-0.025062498798072874
97	1	2	t29	Human activity has increased carbon dioxide emissions and affected the climate.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0049439495640134	0.9559328089461384	0.0391232414898483	1_2_t29	False	-0.30998015622252084
98	1	2	t3	If the media put global warming front and center on nightly newscasts and front pages and homepages, people would line up to fight the climate crisis.	agrees	agrees	agrees	disagrees	agrees	agrees	agrees	neutral	0.0033379688156472	0.9877584046464624	0.0089036265378904	1_2_t3	True	-0.9433583328525625
99	1	2	t4	Terrestrial ecosystems play a significant role in the global carbon cycle and offset a large fraction of anthropogenic CO2 emissions.	neutral	neutral	disagrees	neutral	agrees	agrees	neutral	neutral	0.0692710167063194	0.282843482145291	0.6478855011483895	1_2_t4	False	-0.30998015622252084
100	1	2	t5	Carbon pollution is like putting the Earth on an escalator of rising temperatures, with natural variation such as El Nino or the cooling effect of volcanoes like hopping up or down a step or two on that escalator.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	neutral	0.0015405549618925	0.9905866699987148	0.0078727750393924	1_2_t5	False	-5.825742227201615
101	1	2	t6	Global warming will never hurt anyone.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9991408179176308	0.000549699399339	0.0003094826830302	1_2_t6	False	-24.0
102	1	2	t7	Arctic plant species are extremely responsive to fairly rapid climate shifts in the past.	disagrees	neutral	neutral	agrees	neutral	neutral	neutral	neutral	0.0826669370364674	0.0059426205966601	0.9113904423668726	1_2_t7	False	-0.9433583328525625
103	1	2	t8	If human-driven climate change continues on the present course, the ice covering the site could begin to melt in about 75 years.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	0.0049487437250232	0.9555954982520096	0.0394557580229672	1_2_t8	False	-0.30998015622252084
104	1	2	t9	The theory that carbon dioxide is a pollutant has not been substantiated scientifically.	disagrees	neutral	disagrees	agrees	disagrees	disagrees	disagrees	disagrees	0.9923040207332254	0.0024213156901866	0.0052746635765879	1_2_t9	False	-0.9433583328525625
105	1	3	s0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees				1_3_s0	False	-24.0
106	1	3	s1	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	agrees				1_3_s1	False	-0.9433583328525625
107	1	3	s2	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_3_s2	False	-24.0
108	1	3	s3	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees				1_3_s3	False	-24.0
109	1	3	s4	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral				1_3_s4	False	-24.0
110	1	3	t0	Progress in avoiding environmental regrets can come through constructive discussion of ways to cut risks and waste and to sustain a long-term energy quest that extends beyond fossil fuels even while they remain abundant and cheap.	neutral	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0019069101962722	0.9760481127535582	0.0220449770501694	1_3_t0	True	-5.825742227201615
111	1	3	t1	Most global warming is natural and even if there had been no Industrial Revolution current global temperatures would be almost exactly the same as they are now.	agrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	0.9604544749055062	0.0315101275575661	0.0080353975369277	1_3_t1	False	-0.9433583328525625
112	1	3	t10	And that’s not the only way global warming causes psychological problems.	agrees	agrees	agrees	agrees	neutral	neutral	agrees	agrees	0.002405021984043	0.9492996682824169	0.04829530973354	1_3_t10	True	-4.754887502163468
113	1	3	t11	The winter conditions either debunked or supported the picture of human-driven global warming.	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	neutral	0.0945011183986977	0.0033353757895829	0.9021635058117192	1_3_t11	False	-4.754887502163468
114	1	3	t12	As global temperatures warm, all of NASA’ll be looking at a very different planet.	agrees	neutral	agrees	agrees	neutral	agrees	agrees	agrees	0.0021124209590348	0.9689433000866006	0.0289442789543646	1_3_t12	False	-4.754887502163468
115	1	3	t13	Scientists had manipulated data to hide the decline in global temperatures.	disagrees	neutral	disagrees	disagrees	neutral	disagrees	disagrees	neutral	0.8825892419938292	0.003048195837185	0.114362562168986	1_3_t13	False	-4.18226398830014
116	1	3	t14	Damage to Great Barrier Reef From Global Warming Is Irreversible.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006721871357947	0.9987142832144748	0.0006135296497306	1_3_t14	False	-24.0
117	1	3	t15	More than half think global warming will never hurt anyone.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	neutral	0.0456126467636253	0.0146458573432958	0.9397414958930788	1_3_t15	False	-0.9433583328525625
118	1	3	t16	The researchers plan to test additional sites and examine how carbon dioxide levels changed through the glacial cycle.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008637410679026	0.0009772302922815	0.9981590286398158	1_3_t16	False	-24.0
119	1	3	t17	Ice volume is a better measure than ice area.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	0.0008495998814012	0.0010114378226984	0.9981389622959002	1_3_t17	False	-24.0
120	1	3	t18	The world has little more than a decade to limit catastrophic climate change, which will involve millions of people displaced by sea level rise or subjected to deadly heatwaves, as well as the loss of almost all of the planet’s coral reefs.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	0.0006709820952464	0.9987320845773456	0.000596933327408	1_3_t18	False	-24.0
121	1	3	t19	There is no solid evidence of global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	0.9988409045204488	0.0006359694415667	0.0005231260379844	1_3_t19	False	-24.0
122	1	3	t2	People will need to see that no catastrophes eventuate on the day the carbon price comes in.	neutral	neutral	disagrees	neutral	agrees	neutral	neutral	neutral	0.0570444152013112	0.0146778353859086	0.92827774941278	1_3_t2	False	-0.9433583328525625
123	1	3	t20	A NASA climate scientist is reported as having faked global warming data.	disagrees	neutral	disagrees	disagrees	neutral	neutral	disagrees	neutral	0.7229034664114771	0.0038576997202705	0.2732388338682524	1_3_t20	False	-4.0
124	1	3	t21	Global warming is occurring.	agrees	neutral	agrees	agrees	agrees	agrees	agrees	agrees	0.0014956650277854	0.9888181870794058	0.0096861478928087	1_3_t21	False	-5.825742227201615
