sentence,majority_label
"Averaged over the period, sea-surface temperatures in the eastern equatorial Pacific are cooler than normal.",neutral
The effects would be two to four times worse than with global warming alone.,neutral
Global warming is a hoax.,disagrees
"Climate change is upon us and that the last thing we should do is double down on drilling for oil, especially in a national treasure like the Arctic refuge.",agrees
The supposedly non-binding agreement actually gives the EPA legal authority to regulate carbon emissions.,neutral
It is more certain than ever that humans are causing global warming.,agrees
"Science disagrees with his phony claim that this cold snap has anything to do with Climate Change, Global Warming, or whatever these Truthers are calling it this week.",disagrees
Steps should be taken against global warming even if they are costly.,agrees
Temperatures are forecast to be more than 20 degrees below normal for large portions of the Midwest.,neutral
The economic consequences of cutting carbon too quickly will outweigh the short-term benefit to the environment.,disagrees
The court is sensitive to the plaintiff 's arguments for a strong mechanism to combat the effects of global climate change.,neutral
"If global average temperatures reach 1.6 degrees C (2.9 degrees F.) above preindustrial levels, the iconic ice sheet probably will tip toward irreversible loss.",agrees
There is no solid evidence of global warming.,disagrees
This a sneaky way to cover up the reality that global warming is a sham.,disagrees
So either you tell us how to achieve this mitigation or explain to future generations and those already affected by the climate emergency why we should abandon our climate commitments.,agrees
"Warning that global warming, access to clean water and other environmental threats could push hundreds of millions around the world back into poverty.",agrees
"Scientists should openly address the uncertainties and exaggerations in their predictions of global warming, while politicians should dispassionately count the real benefits as well as the imagined costs of adaptation to global warming, and the real costs as well as the imagined benefits of mitigation.",disagrees
Human activity is responsible for most global warming.,agrees
Cobre hopes the image of Thunberg will bring attention to the crisis of climate change.,agrees
There is no solid evidence of global warming.,disagrees
"Global climate patterns that typically influence winter weather patterns are weak this year, leading to complicated forecasts.",neutral
Expansion of high carbon projects such as the proposed Keystone XL tar sands pipeline will undermine the good work being done in local communities across the country to fight climate change and reduce our dependence on oil.,agrees
"As a result of our past, present, and expected future emissions of carbon dioxide, we are committed to climate change and effects will persist for many centuries even if emissions of carbon dioxide stop.",agrees
"Climate change in the Arctic is accelerating, matching what used to be considered worst-case scenarios.",agrees
"Impacts on people from their melting will range from worsened air pollution to more extreme weather, while lower pre-monsoon river flows will throw urban water systems and food and energy production off-kilter.",agrees
The JMA&apos;s global average temperature in 2014 is 1.1 F hotter than its 20th century average.,neutral
"The theories of man-made climate change are no longer credible in light of the so-called hiatus in rising temperatures, not to mention that polar ice is increasing, not melting away.",disagrees
"Severe climate change is coming our way, and only a sharp reduction in carbon emissions can prevent its most destructive effects.",agrees
The evidence shows “ a fundamental shift in the Earth’s plants ” and that global plant growth should be a central goal for the human race.,neutral
"Energy costs will increase not only because of the tax, but also because energy companies will raise prices across the board knowing that all consumers have more money to spend, thanks to carbon-tax dividends.",neutral
"Some governments are taking serious action to mitigate global warming, when in reality they have achieved almost nothing.",neutral
Recent hurricane activity had not been made more severe by global warming.,disagrees
Global warming will never hurt anyone.,disagrees
There is a clear connection between rising global temperatures and type-2 diabetes.,neutral
Climate change is a global emergency.,agrees
It is impossible to know how much global temperatures have really risen.,disagrees
And that’s not the only way global warming causes psychological problems.,agrees
"The earth is racing toward “global extinction” similar to the era of the dinosaurs, as half the world’s species are allegedly failing to cope with global warming.",agrees
"Development of oil and gas resources in the Arctic would be “incommensurate” with efforts to limit average global warming to 2C. Low oil prices and, perhaps more importantly, oil market volatility.",neutral
"A global price on carbon is politically and economically unlikely, but individual nations have already implemented and may continue to implement such systems to meet their climate goals.",neutral
Anyone who wants to kill the dangerous and unfounded climate scare should focus on exposing the shaky science behind climate alarm.,disagrees
"I am convinced that the joint projects between Rosneft, Exxon Mobil and other companies will benefit our national economies, will contribute to strengthening the global energy situation.",disagrees
Australians must vote out fossil-fuelled politicians who have chosen to be part of the problem and vote in climate champions who are willing to solve it.,agrees
I am also old enough to remember when Climate Change was called Global Warming and then had to be re-branded because God made it snow every time Al Gore gave a speech.,disagrees
"If you have, say, five feet of sea level rise, it’s going to be much more devastating.",agrees
Global warming is having an impact now.,agrees
"What’s happening there is a microcosm of a global trend: 90 percent of the world’s coral will be at risk of disappearance by 2030, thanks primarily to ocean acidification and global warming, both products of greenhouse gases released by human activity.",agrees
Humanity is about to cause an equal or greater rise in sea level.,agrees
"Global warming is influencing the weather, in the wake of a string of deadly extreme events in the US.",agrees
"Arctic sea ice has officially reached its minimum extent for the summer, shrinking to 5.1 million square kilometers.",neutral
"The added burden of climate change, with climate change potentially negative effects on sea life, makes the establishment of refuges even more urgent.",agrees
"Action on climate change now is the only way to protect the economy from suffering under the affects of changing temperatures, rising sea levels, and shifting weather patterns.",agrees
Global warming is a hoax.,disagrees
There may have been an orchestrated effort to mislead the public about the threat of global climate change.,disagrees
Estimates of future sea level rise may be significantly underestimated.,neutral
For-profit carbon project developers work with landowners to qualify large forests for credits.,neutral
"It is not feasible to wait for a global agreement on climate change, on the lines of the Kyoto protocol.",neutral
Progress in avoiding environmental regrets can come through constructive discussion of ways to cut risks and waste and to sustain a long-term energy quest that extends beyond fossil fuels even while they remain abundant and cheap.,agrees
"In the long run, we expect the sea levels on the west coast to catch up to global mean and even exceed the global mean.",neutral
There is a strong connection between melting sea ice and polar bears dying off.,agrees
"The environmental movement is now saying “ climate change ” because it can explain anything, including “ decades of global cooling, ” as one Fox News host claimed.",neutral
"Even modest changes in suicide rates due to climate change could [ lead to ] large changes in the associated global health burden, particularly in wealthier countries where current suicide rates are relatively high.",agrees
The human impact on the atmosphere is just too small to have a major effect on global temperatures.,disagrees
Global warming and sea level rise are increasing the likelihood that New York City would be paralyzed by major flooding.,agrees
"To turn a blind eye on how sea-level rise and climate change are going to affect preserving our history is just, to me, unacceptable.",agrees
"Temperature records are broken in France, Germany and elsewhere.",neutral
"Climate change will reduce crop output in many areas, sending global food prices soaring and triggering unrest among those already pushed to the limit under existing conditions.",agrees
Carbon dioxide has a fundamentally different mode of warming than natural climate change.,neutral
"The last time there is a comparable concentration of CO2 in the atmosphere is between 3 and 5 million years ago, when the temperature was between 2 and 3 degrees Celsius warmer and sea levels were 10 to 20 metres higher than today.",neutral
Itâs not a global warming thing.,disagrees
Increasing the use of wind will actually increase our emissions of carbon dioxide.,neutral
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
There is indeed no scientific basis for claims that billions of people are going to die from climate change.,disagrees
The chart does not mean that global warming is a hoax.,neutral
"Unlike the 1920s, climate change is a huge factor exacerbating inequality today.",agrees
"The poorest people in the world, who have had virtually nothing to do with causing global warming, will be high on the list of victims as climatic disruptions intensify.",agrees
Some icebergs are cute.,neutral
The White House is abdicating its leadership and taking a backseat to other countries in the global fight against climate change.,neutral
Climate change will bring more horrific scenes like the ones she and her family are still grappling with.,agrees
Better models are needed before exceptional events can be reliably linked to global warming.,neutral
"This area will be inundated as sea levels rise and storm surges increase, and a cyclone or another disaster could easily wipe away her rebuilt life.",neutral
"While the data are clear, a global political consensus over how to tackle climate change remains elusive.",neutral
"224 of the 386 ""climate change contrarians"" quoted by the media have at least one publication in peer-reviewed scientific journals.",neutral
"Agriculture, in general, is responsible for a lot of greenhouse gas emissions.",neutral
Some icebergs are cute.,neutral
Global warming is happening and it will be dangerous to human health and welfare.,agrees
The earth's climate has always changed and coast lines and life-forms come and go.,disagrees
The United Nations could be wiped off the face of the earth by rising sea levels if global warming is not reversed by the year 2030.,agrees
The United States is committed to cutting its carbon footprint.,neutral
Global warming is a hoax.,disagrees
Global warming is a hoax.,disagrees
The difference in the sea level rise of the rate of warming between 1.5 and 2 degrees [ celsius ] would literally be life or death for them.,agrees
"Although children are more vulnerable to the effects of global warming, children have been largely left out of the debate.",neutral
The global climate deal that Mr. Obama helped to strike in Paris this month will survive intact no matter who follows him as president.,agrees
The drought is unrelated to climate change.,disagrees
Today the world's leading scientific experts collectively reinforced what mother nature has made clear — that we need to undergo an urgent and rapid transformation to a global clean energy economy.,agrees
Global warming is happening and it will be dangerous to human health and welfare.,agrees
Climate change threatens every living thing on this planet and the urgency of the moment can not be overstated.,agrees
Some icebergs are cute.,neutral
"Human emissions are behind observed warming in the Earth’s surface temperatures and oceans, and that action to reduce greenhouse emissions is an urgent global priority.",agrees
The impact of global warming is headed straight for your freezer.,neutral
"Antarctica is not currently contributing to sea level rise, but is taking 0.23 millimeters per year away.",neutral
The scientific community is under tremendous financial and peer pressure to reach the conclusion that global industry is damaging the environment.,neutral
Global warming has been behind every catastrophe and uprising on the planet.,agrees
Tweaking a cow's diet to include 2 percent seaweed could reduce its methane emissions by as much as 99 percent.,agrees
Climate change means the end of shopping.,neutral
2018 is the fourth hottest year on record,neutral
Carbon emissions are growing exponentially.,neutral
Rising global temperatures during the 19th and 20th centuries may be linked to greater plant photosynthesis.,neutral
"Temperatures in the Antarctic Peninsula had been falling steadily for the last 18 years at the rate of nearly one degree Fahrenheit per decade, countering earlier warming trends and completely undermining one of the most cited cases of rapid climate change.",disagrees
"Local sea level trends in the last 140 years had been very gently rising, neutral or negative (ie sea levels had fallen).",neutral
"It is a fundamental fact, although increasingly ignored, that no single climate event or location can be attributed to global warming.",disagrees
"Since 2005, U.S. carbon dioxide emissions have dropped more than those from any other large industrialized nation.",neutral
"It is in the big cities where climate warming occurs, and people live and suffer it.",agrees
"Arctic sea ice could disappear in the summer within several decades, with severe impacts on wildlife and human communities in the region, and unknown effects on the worldâs weather patterns.",agrees
But the erosion of science reaches well beyond the environment and climate.,disagrees
There is low confidence in attribution of drought on a global scale to human influence on climate.,disagrees
The pope is greatly encouraged by the involvement of young people in the battle against climate change.,agrees
No more than one-third of proven reserves of fossil fuels can be consumed prior to 2050 unless carbon capture and storage technology is widely deployed.,neutral
These fossil fuel companies profited handsomely for decades while knowing they are putting the fate of our cities at risk.,agrees
Some icebergs are cute.,neutral
We can expect the Arctic to be ice-free in summer within 20 years.,neutral
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
"It is thought that the hazardous waste would stay buried and frozen forever beneath the Greenland Ice Sheet, but climate change is warming the Arctic and causing portions of the ice sheet to melt.",agrees
"Greenhouse-gas emissions are causing global warming, and the rising temperatures are leading to the disappearance of Arctic Ocean ice, which is crucial to the health of polar bear populations.",agrees
"We see often that the so-called villains of the large scale, often oil companies, are operating both at the local level and at the global level.",neutral
The fall-off in ice volume is so fast it is going to bring us to zero very quickly.,agrees
"But the plant will strip out about two-thirds of carbon dioxide emissions, leaving emissions at about the same level as cleaner-burning natural gas.",neutral
Critics said Thunberg's speech -- which is peppered with cries from pro-oil and gas counter-protesters -- called for action on climate change but failed to propose any plans for possible solutions.,neutral
"I believe there will not be an oil spill from Shell’s Arctic drilling, and they should proceed full speed ahead.",neutral
This deal is expected to lead to the deployment of a global climate change refugee visa system that in the near future could help to more easily relocate individuals and corporations facing the impacts of climate change.,neutral
Scientists are 95 percent certain that humans are to blame for global climate change.,neutral
These are the effects of climate change.,agrees
"The standard global warming narrative is stale and alienating — and perhaps worst of all, stuck in the technical weeds.",disagrees
Climate change is a cult.,disagrees
Mankind is contributing to global warming but is not yet convinced that this contribution will be catastrophic.,neutral
Carbon dioxide is a pollutant.,neutral
"Global warming is causing sea levels to rise, while increasing the frequency, intensity, and duration of extreme weather events.",agrees
Carbon dioxide is photochemically reacted to produce a molecule that has higher energy content.,neutral
Energy sources like wind and solar are not as vulnerable to market fluctuations as fossil fuels are.,neutral
"The methane-laden Arctic permafrost is not in danger of thawing, and the Antarctic ice sheets are stable.",disagrees
"Human-induced global warming is a fundamental cause behind the 7.1 trillion gallons of torrential rainfall that a storm dumped on Louisiana in August, leading to a flooding disaster that killed at least 13 people and caused more than $ 1 billion in damage.",agrees
Now we feel like the E.P.A. is being run by the fossil fuel industry.,agrees
Global warming over the course of the century will prompt more people to migrate from areas where climate change has made farming untenable â especially where farming relies exclusively on rainfall for irrigation.,agrees
Another 240 billion tons of carbon emissions can be tolerated.,neutral
This is evidence of man-made global warming.,agrees
Because of climate change the warming Arctic is weakening the polar vortex.,agrees
Global warming is likely to be causing the changes.,neutral
Global warming is happening and it will be dangerous to human health and welfare.,agrees
"We are instead seeing weather history repeat itself, and this poses an important question to activists pointing to Sandy as “ overwhelming evidence ” of global warming as its cause.",neutral
This moment requires us to rethink democracy as a global mechanism for enacting policy for and by the planet.,neutral
Melting is not uniform.,neutral
Itâs a smoking gun for sea-level rise causing an acceleration of erosion.,agrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
You cannot go too far on the issue of climate change.,agrees
Mr. Steyer top priorities are addressing climate change and getting money out of politics.,agrees
"Recent fires are partly a product of conditions already endemic to California, and wind patterns that have little to do with climate change.",disagrees
"There is a feedback mechanism involving Indian Ocean sea-surface temperatures, which greatly influence how much rain falls over east Africa.",neutral
"The increase in greenhouse gases from burning fossil fuels and from land-use changes ""is unrelenting, and that, in the end, is going to dominate most of the other things that are going on"" that contribute to the slowdown.",agrees
Global leaders finally address the climate crisis.,agrees
Fossil fuels are a finite bank of ancient sunlight.,neutral
We need to get rid of fossil fuel subsidies now.,neutral
Emissions of carbon dioxide would cause the planet to warm.,neutral
The climate facade is a late addition.,disagrees
All fossil fuel use needs to be regulated to reduce global warming.,agrees
Global warming is happening and it will be dangerous to human health and welfare.,agrees
"Carbon pollution is like putting the Earth on an escalator of rising temperatures, with natural variation such as El Nino or the cooling effect of volcanoes like hopping up or down a step or two on that escalator.",agrees
No comprehensive models yet exist to address sea level rise and its threat to historic landmarks.,neutral
"Divestment will not contribute to solving the challenges of global climate change, and we believe it is not a very wise way to try and solve the issue.",agrees
Such measures could eliminate from the air the equivalent of millions of tons of carbon dioxide a year.,neutral
"Different countries have different densities, so to speak, of global warming denial.",neutral
"She's flown 29 times to study, meet or talk about global warming.",neutral
Global warming isn't real Leo.,disagrees
"As solid and invulnerable as the Statue of Liberty seems, the World Heritage site is actually at considerable risk from some of the impacts of climate change, especially sea-level rise, increased intensity of storms and storm surges.",agrees
Sanders repeatedly requested and received the use of a carbon-spewing private jet for himself and his traveling staff when he served as a surrogate campaigner for Hillary Clinton.,agrees
"A third of the world’s oil, coal and other fossil fuel reserves must remain untouched until 2050 to stave off catastrophic climate change.",agrees
The several previous warming periods (called climate optima) directly correlated to fantastic periods of human prosperity and advances.,neutral
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
Climate deniers blame global warming on aliens from outer space.,neutral
"Identifying and addressing these ""super-emitters"" could reduce methane emissions from fossil fuels up to 87 percent.",neutral
"In 12 years (11 now), we fall off the cliff of climate catastrophe and face the end of humanity.",agrees
"The worst-case scenario would be the creation of huge zones with too little oxygen for sea creatures to survive, with unknown consequences for the overall ecology of the ocean.",agrees
"It is not the time to talk about climate change, and that those who did are merely trying to score political points.",disagrees
There is such a tight relationship between sea level and temperature.,neutral
Some icebergs are cute.,neutral
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
"Climate change is a global problem, and requires that the international community cooperate in its response.",agrees
We are melting down the future.,agrees
"Global warming is significant, people are responsible, and it can be stopped at reasonable cost.",agrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
Some icebergs are cute.,neutral
"Continued global warming poses a risk of rapid, drastic changes in some human and natural systems.",agrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
"Warming temperatures in Pacific Ocean waters off the coast of North America over the past century closely follow natural changes in the wind, not the increases in greenhouse gases related to global warming.",disagrees
"If we want to eat well for we health, the environment, to decrease climate change and to minimize food safety changes, people have to consume smaller, more locally distributed food.",agrees
Some icebergs are cute.,neutral
"The biggest hope for reducing emissions from coal plants globally is natural gas, which has already started to happen in the United States.",neutral
"Well, everything is OK because the big changes in the Arctic are essentially balanced by what's happening in the Antarctic.",disagrees
"Roughly 75 percent of the carbon dioxide emissions from the natural world come not from above-ground biomass, but from the soil.",neutral
Greenland is not only melting.,neutral
It will be extremely difficult for the world to rapidly reduce its greenhouse gas emissions.,neutral
You can’t run the machine called America without fossil fuels and nuclear energy or the millions of jobs this deal seeks to eliminate.,neutral
Limiting our carbon pollution is pointless because of China’s supposedly growing coal dependency.,disagrees
Future storms will be slightly stronger because of global warming and sea level is rising faster than researchers once thought.,agrees
The difference in ocean-surface temperatures from the Medieval Warm Period to the Little Ice Age is about 0.72 degrees F (0.4 degrees C) over 900 years.,neutral
"Just to give you one last quick example, scientists have documented already the deep oceans are warming, the glaciers are melting.",agrees
"Many young adults have become anxious about whether to have children, given issues related to climate change.",neutral
"Between 1982 and 1999, global net primary production â a key measure of plants 'carbon uptake â rose 6 percent, or roughly 3 percent per decade.",neutral
Some icebergs are cute.,neutral
"During the past 15 years, the retreat of summer sea ice has led to a 5 percent increase in the amount of energy the Arctic Ocean has taken up.",agrees
Global warming is happening and it will be dangerous to human health and welfare.,agrees
"On the warmest day this month, half the ice sheet’s surface is melting, double the norm for this time of year.",agrees
"Dust, ozone and carbon can accumulate in valleys and basins in California and other Western states.",neutral
The global warming agenda is a loser for them with the American people.,disagrees
"The United States of America has disproportionately contributed to the climate and ecological crises and to preventing a transition away from fossil fuels, and Americans thus bear an extraordinary responsibility to solve the crises.",agrees
People will need to see that no catastrophes eventuate on the day the carbon price comes in.,neutral
There is no “global warming” story.,disagrees
Scientists’ most extreme projections about sea-level rise appear to have been rejected as “ outliers ” by Working Group I.,neutral
The U.S. going back to the stone age will not do anything to stop global warming.,neutral
Fewer than half of Americans believe human activity is responsible for most global warming.,neutral
The claim that 97 % of climate scientists believe humans are the primary cause of global warming is simply false.,disagrees
"PFTBA remains in the atmosphere for about 500 years, and unlike carbon dioxide, is taken up by forests and oceans.",neutral
Damage to Great Barrier Reef From Global Warming Is Irreversible.,agrees
"Through the 1980s, Exxon researched the emerging science of man-made climate change by, among other things, modeling increases in global temperatures due to carbon dioxide emissions.",neutral
Some icebergs are cute.,neutral
"Italy public schools would soon require students in every grade to study climate change and sustainability, a step he said would put Italy at the forefront of environmental education worldwide.",neutral
Some icebergs are cute.,neutral
Tuesday morning's frigid temperature of 8 degrees set the record for the coldest temperature this early in the season.,neutral
"These phenomena are consistent with the ongoing changes in global climate, which we know with very high confidence are being caused mainly by the increase of atmospheric carbon dioxide and other heat-trapping gasses released by human activities.",agrees
Ms. Thunberg has been incredibly misled about the health implications of rising temperatures.,disagrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
"Ernman and Rentzhog signed an op-ed in Dagens Nyheter calling for ""bottom-up"" action against national governments to fight climate change.",neutral
The agency is “ 99 % certain ” record-high global temperatures are due to human activity.,neutral
Some form of carbon capture and storage (or recycling) ultimately will be needed to counter global warming.,agrees
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
Global warming is happening and it will be dangerous to human health and welfare.,agrees
"For example, stressing the idea that human activity is behind global warming can be counterproductive.",disagrees
"If global temperatures are allowed to rise to 2 degrees Celsius, “virtually all” coral reefs will be lost.",agrees
Australia could become so hot and dry that its residents could join the ranks of the world's climate refugees.,agrees
The concept of global warming is created by and for the Chinese in order to make U.S. manufacturing non-competitive.,disagrees
It's hard to distract from climate change because it's spoken about constantly.,neutral
"Our economy is vitally dependent on fossil fuels, and yet our landscape is relatively exposed to climate change.",neutral
Global oil consumption will grow by seven million barrels a day through 2024.,neutral
"Cutting out meat from an individual's diet reduces their greenhouse gas emissions by 35%, and substituting carbon-intensive meats such as beef and lamb with chicken or pork can reduce one person's emissions contribution by 18.",neutral
Global warming has stalled.,neutral
Global cooling is the real problem and we are heading towards a new ice age.,disagrees
"Over the past three decades, many climate scientists have repeatedly made a number of significant and alarming predictions about global warming, and the vast majority of the time.",neutral
Human emissions of greenhouse gasses essentially control the future of surface melting in Antarctica.,agrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
"Earlier this year painted a bleaker portrait than the IPCC, stating that without a ""decisive shift"" by 2030 the globe will pass the point of no return and be unable to keep the global temperature rise to below 2C.",agrees
Sea levels are rising.,agrees
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
Even small changes in sea levels can lead to flooding and erosion.,neutral
"The study used real-world data to show what actually happened during floods, instead of relying on a model of what “should” happen.",neutral
"Global temperatures had reached a dangerous “tipping point,” with extreme warming imminent and unavoidable.",agrees
The whole global warming thing is a scam.,disagrees
Some icebergs are cute.,neutral
There is nearly 300 to 400 times as much carbon biomass underground (most of it still undiscovered) as there is in all the humans on Earth.,neutral
"If you're a believer in the Bible, one would have to say the Great Flood is an example of climate change and that certainly is n't because mankind had overdeveloped hydrocarbon energy.",disagrees
To strip its $3.5 billion endowment fund of fossil fuel investments would needlessly cost the school money.,neutral
"Antarctica was once a lush, green continent, icing over only in the past 35 million years, amid a general cooling of the worldâs climate.",disagrees
It would be healthy for the Intergovernmental Panel on Climate Change to focus on regional impacts and to focus on individual phenomena rather than the big global thing.,neutral
Global warming is under way.,agrees
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
"Over all, last year brought the highest sea surface temperatures across the Great Barrier Reef on record.",agrees
"Environmental-extremist scientists have tampered with the raw data by adding an imagined (and imaginary) âglobal isostatic adjustmentâ, torturing the data until they show a rate of sea-level rise that has not in reality occurred.",disagrees
"Climate models could indeed reproduce a hiatus in warming during the 2000s if the model used observed sea-surface temperatures in the eastern equatorial Pacific between 1970 and 2012, rather calculating its own ocean temperatures.",neutral
Global sea-level rise is both undeniable and consequential.,agrees
Trump is careful to keep any comments about climate change to a minimum to avoid getting booed.,neutral
The Arctic ice cap is melting faster than is predicted even five years ago.,neutral
"A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States).",agrees
Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,agrees
"Flooding, droughts and other climate impacts could have devastating effects on economies, agriculture and human health, particularly in developing countries.",agrees
Climate summits are stuck in a rut.,neutral
"Burning all fossil fuels, we conclude, would make most of the planet uninhabitable by humans, thus calling into question strategies that emphasize adaptation to climate change.",agrees
The sea is not rising.,disagrees
"We could soon reach a point where global warming is irreversible, leading to a ""hothouse"" effect where parts of Earth are uninhabitable.",agrees
A safe level of atmospheric concentrations of carbon dioxide is 350 parts per million.,neutral
"The countries that are paying the price for industrialization are actually in the Global South, and especially South Asia.",neutral
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
"World temperatures have gone up only very slowly, less than half as fast as the scientific consensus predicted in 1990 when the global-warming scare began in earnest.",disagrees
"Global warming will be small, slow, harmless and net beneficial.",disagrees
Some icebergs are cute.,neutral
Global warming was much more of an abstraction to New York City until two years ago.,neutral
"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral
Continued high emissions will make multi-meter sea level rise practically unavoidable and likely to occur this century.,agrees
Global warming is a concern of raving inner-city lunatics.,disagrees
Exxonmobil has spent at least $8 million dollars funding a network of groups to challenge the existence of global warming.,neutral
There is “ no reproducible evidence ” that carbon dioxide levels have increased over the past century.,disagrees
The climate emergency requires us to rapidly transform our energy system and key industrial sectors in ways that protect workers and impacted communities.,agrees
"Some people don't believe in global warming or whatever, but I certainly do.",agrees
Kauppinen is the author of a separate submission to Nature in 2010 that also contests the UN Climate Panel’s consensus view on the degree to which human activity contributes to global climate change.,neutral
Stable sea levels can be rendered to look like they are nonetheless rising at an accelerated pace.,disagrees
Global warming is happening and it will be dangerous to human health and welfare.,agrees
"The Arctic ice cap, which is thought to have lost an average of 12.9 billion tonnes of ice a year between 1992 and 2010 due to general warming, may be losing an extra 27 billion tonnes a year just because of dust, potentially adding several centimeters of sea-level rise by 2100.",agrees
Global temperatures last year ranked as the second warmest since record keeping began in 1888.,neutral
There are a lot of Republican economists who would like us to put a price on carbon.,neutral
Global warming is real and threatening.,agrees
The explanation lies with global warming.,neutral
The fossil fuel industry can be part of the solution–though others say what’s needed is a more rapid transition to a clean energy economy.,neutral
Some icebergs are cute.,neutral
Earth is about to go through an extensive global cooling period.,disagrees
"His visit to the United States will inspire Congress to work across the aisle toward solutions to climate change, whether through a carbon tax or through other methods that will reduce our carbon footprint fast.",agrees
One of the most poorly quantified components of the carbon cycle is the net balance between forest disturbance and regrowth.,neutral
It is no longer possible for us to ignore Microsoft's complicity in the climate crisis.,agrees
"Global emissions will continue to rise at a torrid pace over the next quarter century, reaching 45.5 billion metric tons in 2040—more than double the amount recorded in 1998 and enough, in the view of most scientists, to turn our planet into a living hell.",agrees
"Dealing with global warming has become normal, and that’s a good thing.",neutral
