row	round	batch	sent_id	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	disagree	agree	neutral	guid	in_held_out_test	disagreement_score
1738	4	9	t39	No single storm can be laid at the foot of global warming.	agrees	disagrees	agrees	agrees	disagrees	neutral	neutral	disagrees	0.9803994312395502	0.0072050808916374	0.0123954878688123	4_9_t39	False	0.38997500048077083
1210	3	9	t0	Not one of 928 papers on “global climate change” in a database of scientific journals questioned whether the event is human-induced or natural.	agrees	agrees	disagrees	neutral	disagrees	agrees	neutral	disagrees	0.7654761951949878	0.1180876674131662	0.1164361373918459	3_9_t0	False	0.38997500048077083
1406	4	3	t1	It is premature to conclude that human activities â and particularly greenhouse gas emissions that cause global warming â have already had a detectable impact on Atlantic hurricane or global tropical cyclone activity.	neutral	disagrees	agrees	agrees	neutral	agrees	neutral	disagrees	0.391426342151588	0.0156699908859484	0.5929036669624635	4_3_t1	True	0.38997500048077083
2130	5	6	t5	Climate alarmists necessarily demonize American patriots.	disagrees	agrees	agrees	disagrees	neutral	neutral	neutral	disagrees	0.7047422050218874	0.0709242446053173	0.2243335503727952	5_6_t5	True	0.38997500048077083
2127	5	6	t47	But the optics of the protest are clear: climate alarmists insist that the Earth only has 12 years left.	agrees	disagrees	neutral	disagrees	neutral	agrees	agrees	neutral	0.0150651474866343	0.456998301612717	0.5279365509006486	5_6_t47	False	0.38997500048077083
181	1	5	t1	The basics are clear long ago and the response to global warming is more about ethics and economics than data.	disagrees	neutral	neutral	neutral	agrees	agrees	disagrees	agrees	0.0862558825468734	0.5724446292300885	0.341299488223038	1_5_t1	False	0.38997500048077083
1716	4	9	t19	The rate of ice loss expected for warming of 1.6 degrees is slow, occurring over 50,000 years.	agrees	disagrees	neutral	agrees	neutral	agrees	disagrees	neutral	0.7810694707072326	0.015714202916333	0.2032163263764344	4_9_t19	False	0.38997500048077083
1691	4	8	t41	The global conservation movement is like a surgeon in an emergency room treating an accident victim.	neutral	neutral	agrees	agrees	agrees	disagrees	disagrees	neutral	0.400001872226536	0.1887711606465871	0.4112269671268769	4_8_t41	False	0.38997500048077083
1428	4	3	t3	About one-third of the measuring stations in the team's global sample indicated cooling trends.	neutral	neutral	agrees	agrees	disagrees	disagrees	disagrees	neutral	0.3953688284813262	0.0116547784965522	0.5929763930221215	4_3_t3	False	0.38997500048077083
2175	5	7	t40	The bad news is that growing climate awareness is mainly taking place among Democrats.	agrees	agrees	disagrees	disagrees	neutral	disagrees	neutral	neutral	0.3663964540740598	0.1713545865446902	0.4622489593812499	5_7_t40	False	0.38997500048077083
2173	5	7	t39	The latest climate hysteria headlines earlier this week.	neutral	agrees	neutral	agrees	neutral	disagrees	disagrees	agrees	0.6833664183479171	0.0235650443914466	0.2930685372606363	5_7_t39	False	0.38997500048077083
2166	5	7	t32	Global temperatures are much lower around the time of the extinction than they should have been if volcanoes are expelling large amounts of carbon dioxide.	disagrees	agrees	agrees	agrees	neutral	disagrees	neutral	disagrees	0.7596029434023742	0.0142629699692412	0.2261340866283846	5_7_t32	False	0.38997500048077083
2182	5	7	t47	The media to silence all voices opposing their climate alarmism.	disagrees	agrees	neutral	agrees	neutral	disagrees	disagrees	agrees	0.9528183617408368	0.0126785247714028	0.0345031134877605	5_7_t47	False	0.38997500048077083
2181	5	7	t46	Future warming will be benign, supporting his position with convincing data.	disagrees	agrees	agrees	agrees	disagrees	disagrees	neutral	neutral	0.8838003231583753	0.0114215165363712	0.1047781603052534	5_7_t46	False	0.38997500048077083
831	3	0	t32	The global warming debate is over.	neutral	agrees	neutral	neutral	disagrees	disagrees	agrees	disagrees	0.4460074042478129	0.2942714436632417	0.2597211520889452	3_0_t32	False	0.38997500048077083
2126	5	6	t46	Greta Thunberg, the child climate activist being exploited by the media and the political left at the moment.	neutral	agrees	neutral	disagrees	disagrees	disagrees	agrees	neutral	0.0991552606061446	0.0421088751894778	0.8587358642043775	5_6_t46	False	0.38997500048077083
2121	5	6	t41	Mitch McConnell and the Republican Party are going to boldly confront climate change and create millions of jobs in the process.	disagrees	disagrees	neutral	agrees	neutral	agrees	disagrees	agrees	0.5289480433548875	0.3144887167405916	0.1565632399045208	5_6_t41	False	0.38997500048077083
1686	4	8	t37	It's delusional to propose a carbon tax right now.	disagrees	disagrees	neutral	disagrees	agrees	neutral	neutral	agrees	0.7537956742067401	0.0053516417953985	0.2408526839978612	4_8_t37	True	0.38997500048077083
1685	4	8	t36	Thatâs a lot of money for Mr. Pruitt to tour the Vatican, pose for photos, and tell his European counterparts that global warming doesnât matter.	neutral	agrees	agrees	disagrees	disagrees	agrees	neutral	neutral	0.0895995438691988	0.5047631090582693	0.4056373470725319	4_8_t36	False	0.38997500048077083
1659	4	8	t12	Climate scientists centuries in the future won&apost be able to see any hints of the Medieval Warm Period or the Little Ice Age in Pacific data.	disagrees	neutral	neutral	agrees	agrees	disagrees	neutral	disagrees	0.5990909131588248	0.0371101262363053	0.3637989606048699	4_8_t12	False	0.38997500048077083
2146	5	7	t14	My climate angst is an extension of my melancholic leanings, which struck me as plausible, but not quite right.	disagrees	agrees	disagrees	neutral	neutral	agrees	neutral	disagrees	0.3963664050942754	0.2446795224470505	0.3589540724586741	5_7_t14	False	0.38997500048077083
2157	5	7	t24	The Earth to periodically cycle in and out of ice ages.	disagrees	agrees	agrees	agrees	neutral	disagrees	neutral	neutral	0.6434129144211239	0.0156757393293934	0.3409113462494825	5_7_t24	False	0.38997500048077083
2153	5	7	t20	Efforts to decrease carbon emissions should focus on industry.	agrees	disagrees	agrees	agrees	neutral	neutral	neutral	disagrees	0.0254603837398041	0.158560602422631	0.8159790138375648	5_7_t20	False	0.38997500048077083
1638	4	7	t39	Antarctica's sea ice has expanded by about half a percent a year.	neutral	neutral	agrees	disagrees	neutral	disagrees	disagrees	agrees	0.7521255698100586	0.0065238975709534	0.2413505326189879	4_7_t39	False	0.38997500048077083
1637	4	7	t38	Fossil fuel investments are pretty good bets regardless of the political climate.	neutral	agrees	agrees	disagrees	disagrees	neutral	neutral	agrees	0.4267145485028346	0.0585189880615283	0.5147664634356371	4_7_t38	False	0.38997500048077083
651	2	6	t32	Global warning will be overridden by this effect, giving humankind and the Earth 30 years to sort out our pollution.	neutral	disagrees	neutral	disagrees	agrees	neutral	disagrees	agrees	0.3794934072974424	0.2795688040081575	0.3409377886944002	2_6_t32	False	0.38997500048077083
1006	3	4	t28	The magnitude of the dryness is well beyond what global warming would be able to do so far.	agrees	disagrees	disagrees	neutral	neutral	disagrees	agrees	neutral	0.4060440187859062	0.208544579688948	0.3854114015251458	3_4_t28	False	0.38997500048077083
959	3	3	t26	The issue of global warming's the height of arrogance for human beings to think that they can control the weather.	neutral	disagrees	disagrees	agrees	disagrees	agrees	neutral	agrees	0.2165232479357636	0.4518911068974054	0.3315856451668309	3_3_t26	False	0.38997500048077083
1098	3	6	t3	All that our world leaders need is a little more common sense, in order to avoid the nonsense of seeking a globally-binding treaty to reduce CO2 emissions.	disagrees	neutral	disagrees	agrees	agrees	neutral	disagrees	disagrees	0.8323661912353291	0.0525833803353994	0.1150504284292716	3_6_t3	False	0.22656666858975005
1100	3	6	t31	The rising level of carbon dioxide in the earth’s atmosphere is currently net beneficial for both humanity and the biosphere generally.	disagrees	agrees	disagrees	neutral	neutral	agrees	disagrees	disagrees	0.8241020193574253	0.1381687086109406	0.0377292720316339	3_6_t31	False	0.22656666858975005
799	2	9	t9	CO2 emmissions are dwarfed by the immense amount of carbon dioxide released into the atmosphere by natural (and evil, likely Republican) sources like oceans and vegetation.	neutral	disagrees	agrees	disagrees	disagrees	disagrees	neutral	agrees	0.5844405054370819	0.2191763978840984	0.1963830966788196	2_9_t9	False	0.22656666858975005
962	3	3	t29	Global warming can be tackled without changing entrenched patterns of production and consumption in industrialized societies.	neutral	agrees	agrees	disagrees	disagrees	disagrees	neutral	disagrees	0.5264812348856125	0.158911475452536	0.3146072896618512	3_3_t29	False	0.22656666858975005
1424	4	3	t26	When liberals talk about the dire threat of global warming, liberalsâre actually seizing opportunistically on the issue.	agrees	disagrees	agrees	agrees	neutral	agrees	disagrees	neutral	0.4397867204157733	0.1289078636413279	0.4313054159428989	4_3_t26	True	0.22656666858975005
2003	5	4	t34	Anthropogenic global warming is the greatest and widest-ranging market failure ever seen.	neutral	agrees	agrees	disagrees	disagrees	neutral	disagrees	disagrees	0.7784988335850258	0.1973755003775721	0.0241256660374021	5_4_t34	False	0.22656666858975005
2290	5	9	t45	Although the data series started in 1958 has always shown CO2 concentrations increasing year-on-year, driven by fossil fuel burning and deforestation, the rate of rise has not been perfectly even.	neutral	disagrees	neutral	disagrees	agrees	agrees	neutral	neutral	0.0736120644042752	0.2424694089779063	0.6839185266178186	5_9_t45	False	0.22656666858975005
2109	5	6	t30	The issue is more about globalization than saving the planet.	disagrees	neutral	disagrees	agrees	neutral	agrees	disagrees	disagrees	0.9770370474812148	0.0141995009082419	0.0087634516105432	5_6_t30	False	0.22656666858975005
1431	4	3	t32	Rising global temperatures are not necessarily a bad thing and humans have flourished during times of warming trends.	neutral	disagrees	agrees	disagrees	neutral	agrees	disagrees	disagrees	0.7376207100790935	0.009805435033651	0.2525738548872555	4_3_t32	False	0.22656666858975005
2108	5	6	t3	New Ice Age coming fast.	agrees	disagrees	neutral	disagrees	agrees	neutral	neutral	neutral	0.010788486635083	0.1151058266354577	0.8741056867294593	5_6_t3	False	0.22656666858975005
865	3	1	t22	Pollution caused by fossil fuels has been conflated with climate change.	disagrees	disagrees	disagrees	neutral	agrees	disagrees	agrees	neutral	0.8439376222029215	0.0552368968877411	0.1008254809093374	3_1_t22	False	0.22656666858975005
596	2	5	t23	This, the authors conclude, augurs ill for human populations if “ global warming ” ever seriously takes off.	disagrees	neutral	neutral	disagrees	agrees	agrees	neutral	neutral	0.6781414460184819	0.0293267138513385	0.2925318401301796	2_5_t23	False	0.22656666858975005
552	2	4	t24	It’s only a temporary Band-Aid covering a problem that will persist essentially forever, actually hundreds of thousands of years for fossil fuel CO2 to finally go away naturally.	neutral	agrees	agrees	agrees	disagrees	agrees	disagrees	neutral	0.1157960004925166	0.7366820327501462	0.1475219667573372	2_4_t24	False	0.22656666858975005
2149	5	7	t17	The climate is always changing in accordance with natural causes and recent changes.	disagrees	agrees	neutral	disagrees	neutral	disagrees	disagrees	agrees	0.9556983283056724	0.010689276955976	0.0336123947383516	5_7_t17	False	0.22656666858975005
616	2	5	t6	The threat to humanity comes more from global warming policies.	disagrees	neutral	agrees	disagrees	agrees	neutral	disagrees	disagrees	0.9660086954718192	0.0300450620177969	0.0039462425103837	2_5_t6	False	0.22656666858975005
2134	5	6	t9	Young climate activists `are being criticized all the time' in comments like those from U.S. Treasury chief Steven Mnuchin.	neutral	disagrees	neutral	disagrees	neutral	agrees	agrees	neutral	0.0097232740831033	0.0822860175229496	0.907990708393947	5_6_t9	False	0.22656666858975005
2155	5	7	t22	Ancient temperatures should have been relatively high around the time of the crisis.	disagrees	agrees	agrees	neutral	neutral	disagrees	neutral	neutral	0.6418329807929952	0.0146324420384587	0.3435345771685462	5_7_t22	False	0.22656666858975005
2160	5	7	t27	Siemens to quit the mine project because emissions from coal-fired power plants contribute to global warming.	neutral	agrees	disagrees	agrees	neutral	neutral	neutral	disagrees	0.01610368881189	0.0031952283774678	0.9807010828106422	5_7_t27	False	0.22656666858975005
581	2	5	t1	Zharkova’s very possible global temperature will drop in a manner similar to when solar activity was last at Zharkova’s projected levels, in the mid-1700s, when much of the world experienced a so-called “ mini ice age.“	neutral	agrees	neutral	disagrees	agrees	neutral	neutral	disagrees	0.517315352001873	0.0274858689034395	0.4551987790946875	2_5_t1	False	0.22656666858975005
1708	4	9	t11	The rhythm of ice ages parallels changes in the solar energy that heats the continents.	agrees	neutral	agrees	neutral	neutral	disagrees	disagrees	neutral	0.0777048448633611	0.0100214088725696	0.9122737462640692	4_9_t11	False	0.22656666858975005
1434	4	3	t35	One-in-100 year floods are starting to happen every 50 years.	neutral	neutral	agrees	disagrees	neutral	disagrees	agrees	neutral	0.0085011103019968	0.0931979029686269	0.8983009867293762	4_3_t35	False	0.22656666858975005
1656	4	8	t1	Sheâs in the pocket of the fossil fuel industry.	disagrees	neutral	agrees	neutral	agrees	neutral	neutral	disagrees	0.2578055610214508	0.0489147552285732	0.6932796837499761	4_8_t1	False	0.22656666858975005
862	3	1	t2	Climate contrarians somehow tend to neglect mentioning that solar variation is smaller than the heat-trapping power of carbon dioxide.	disagrees	disagrees	agrees	neutral	agrees	agrees	neutral	agrees	0.4435650178093977	0.3348159097255399	0.2216190724650624	3_1_t2	False	0.22656666858975005
853	3	1	t11	The science is anything but settled on global warming.	disagrees	disagrees	disagrees	disagrees	agrees	agrees	neutral	neutral	0.936457932885982	0.00581473610229	0.0577273310117279	3_1_t11	False	0.22656666858975005
2150	5	7	t18	There's no one way to talk to people about climate change.	neutral	agrees	agrees	disagrees	neutral	neutral	neutral	disagrees	0.0100922809218654	0.0059387516664946	0.98396896741164	5_7_t18	True	0.22656666858975005
1795	5	0	t45	Ending climate change would require `entire societal upheaval.'	agrees	agrees	disagrees	agrees	agrees	neutral	disagrees	neutral	0.2366476602304509	0.5156862789664698	0.2476660608030791	5_0_t45	False	0.22656666858975005
2197	5	8	t10	Electric cars are going to save the planet from climate change or something.	neutral	agrees	agrees	disagrees	neutral	disagrees	neutral	neutral	0.2984213048864325	0.0376320358727072	0.6639466592408602	5_8_t10	False	0.22656666858975005
1507	4	5	t10	The Earth probably last had this much carbon dioxide in the atmosphere at least a few million years ago, when sea levels are higher.	disagrees	disagrees	agrees	neutral	disagrees	disagrees	agrees	neutral	0.6812040855235642	0.189304750543986	0.1294911639324499	4_5_t10	False	0.22656666858975005
1766	5	0	t19	There is no point in only reducing greenhouse gas emissions at home, if we increase the import of CO2 from abroad.	agrees	neutral	agrees	disagrees	disagrees	neutral	agrees	agrees	0.046845614796678	0.7379532392999391	0.215201145903383	5_0_t19	True	0.22656666858975005
1730	4	9	t31	An increase in C02 emissions from fossil fuels will be a great benefit to plant and animal life on Earth.	agrees	disagrees	neutral	neutral	disagrees	agrees	disagrees	disagrees	0.9970258083454626	0.0011815985892933	0.001792593065244	4_9_t31	False	0.22656666858975005
1383	4	2	t34	China to continue to expand its energy infrastructure and increase emissions through 2030 while American taxpayers and businesses foot the bill of his extremist global warming agenda.	disagrees	disagrees	agrees	neutral	disagrees	disagrees	agrees	neutral	0.8108476893969244	0.0837133342335298	0.1054389763695456	4_2_t34	False	0.22656666858975005
1748	4	9	t8	The single biggest uncertainty in climate science has nothing to do with the physics of the atmosphere, or the stability of the ice, or anything like that.	disagrees	neutral	agrees	neutral	neutral	agrees	neutral	disagrees	0.2168318438027947	0.0117736832266831	0.771394472970522	4_9_t8	False	0.22656666858975005
1411	4	3	t14	To reduce carbon emissions, youâll accomplish a lot more by sorting paper and aluminum cans than by worrying about yogurt containers and half-eaten slices of pizza.	agrees	neutral	agrees	disagrees	neutral	disagrees	neutral	neutral	0.00792804241539	0.0596429698101236	0.9324289877744864	4_3_t14	False	0.22656666858975005
2095	5	6	t18	A report on the threat of climate change based on more controversial data from the United Nations Intergovernmental Panel on Climate Change would doom the the U.S. economy while allowing the biggest polluters like China and India to continue polluting.	neutral	disagrees	neutral	disagrees	neutral	agrees	neutral	agrees	0.0128826313408596	0.1926841951527458	0.7944331735063944	5_6_t18	False	0.22656666858975005
1418	4	3	t20	U.s. carbon dioxide emissions dropped dramatically during Trumpâs first year in office.	neutral	disagrees	agrees	disagrees	neutral	agrees	neutral	neutral	0.1047209981819871	0.0091471627447166	0.8861318390732963	4_3_t20	False	0.22656666858975005
182	1	5	t10	Much of the rise in sea level we’ve seen since the 1880s is the result of thermal expansion.	neutral	neutral	neutral	agrees	disagrees	agrees	neutral	disagrees	0.2443228830921138	0.2563344487232604	0.4993426681846258	1_5_t10	False	0.22656666858975005
1876	5	2	t19	Climate change policy is about raising capital, two trillion dollars in capital.	agrees	disagrees	neutral	agrees	neutral	disagrees	neutral	neutral	0.2176514399302028	0.0757355304230618	0.7066130296467352	5_2_t19	False	0.22656666858975005
1905	5	2	t45	Any climate change solution should respect and take into consideration the rights of indigenous peoples around the world,.	agrees	neutral	disagrees	disagrees	neutral	agrees	neutral	neutral	0.1358321668404569	0.0668538305857165	0.7973140025738266	5_2_t45	False	0.22656666858975005
429	2	1	t35	A new Ice Age is coming.	disagrees	agrees	agrees	neutral	neutral	agrees	disagrees	agrees	0.2681866123219665	0.4739164907670416	0.2578968969109919	2_1_t35	False	0.22656666858975005
1926	5	3	t14	Climate change presents risks that are big and that are scary, and for that reason it's being talked about like a crisis.	neutral	agrees	agrees	disagrees	disagrees	agrees	neutral	agrees	0.2649472846877172	0.679717040782079	0.0553356745302037	5_3_t14	False	0.22656666858975005
1614	4	7	t17	The truth is, we don't really have a good regional or global estimate of emissions from these fires.	neutral	neutral	agrees	disagrees	neutral	neutral	disagrees	agrees	0.4207780586574511	0.0076731757841971	0.5715487655583517	4_7_t17	True	0.22656666858975005
2188	5	7	t8	Swedish climate activist Greta Thunberg is in no position to give economic advice until she's gone to college and come out with an economics degree.	disagrees	agrees	neutral	agrees	disagrees	disagrees	disagrees	neutral	0.9920696114743656	0.0018941046896116	0.0060362838360227	5_7_t8	False	0.22656666858975005
1529	4	5	t30	Exxon Mobilâs senior leaders and board decided to go forward with their political activities even though they had been briefed extensively on the risks of global warming by the companyâs own scientists.	neutral	agrees	disagrees	neutral	agrees	disagrees	neutral	neutral	0.1125263679970482	0.2785334221974516	0.6089402098055001	4_5_t30	False	0.22656666858975005
2226	5	8	t37	While we agree on the urgency of this global challenge, we respectfully disagree with divestment activists on the means by which a university should confront it.	agrees	neutral	agrees	agrees	disagrees	disagrees	neutral	agrees	0.3498262235558692	0.5491743068517784	0.1009994695923524	5_8_t37	False	0.22656666858975005
2253	5	9	t11	Even insurers are struggling to predict the risks associated with climate change.	neutral	disagrees	neutral	neutral	neutral	agrees	agrees	disagrees	0.1104995890818173	0.2149439032348	0.6745565076833827	5_9_t11	False	0.22656666858975005
1094	3	6	t26	State-of-the-art global climate models do not capture this characteristic of hydroclimate variability, suggesting that the models underestimate the risk of future persistent droughts.	agrees	agrees	neutral	disagrees	neutral	disagrees	agrees	agrees	0.0551301433051842	0.8163150709210749	0.1285547857737407	3_6_t26	False	0.22656666858975005
1144	3	7	t30	Had Exxon continued in that role, there might not be such a cacophony of anti-climate arguments that are ongoing now because there would have been somebody at the table who came from the side of fossil fuel use and would have been shown to be a leader in terms of the science.	disagrees	disagrees	neutral	agrees	agrees	neutral	neutral	neutral	0.1603313172360654	0.0961791958994287	0.7434894868645058	3_7_t30	False	0.22656666858975005
745	2	8	t36	They grow better with more carbon dioxide, and you can see the greening of the earth already from the additional carbon dioxide in the atmosphere.	agrees	neutral	neutral	disagrees	disagrees	agrees	disagrees	disagrees	0.4967351260096598	0.2598728138005543	0.243392060189786	2_8_t36	True	0.22656666858975005
345	1	9	t5	On the most important indicator of uncertainty in climate science--the likely range of warming for a given increase in carbon dioxide emissions--progress is actually retrograde.	agrees	disagrees	neutral	disagrees	disagrees	agrees	disagrees	neutral	0.6318147525888106	0.2292718805068889	0.1389133669043004	1_9_t5	False	0.22656666858975005
677	2	7	t15	Moreover, the focus on man-made global warming is detracting attention from real environmental disasters to nature’s detriment.	disagrees	agrees	disagrees	neutral	disagrees	neutral	neutral	disagrees	0.7074813941399094	0.0225302879951519	0.2699883178649386	2_7_t15	False	-0.025062498798072874
1951	5	3	t37	Climate is an extremely complicated science that remains far less than fully understood.	agrees	disagrees	neutral	disagrees	neutral	disagrees	neutral	disagrees	0.6417319643480003	0.0065878182176392	0.3516802174343605	5_3_t37	False	-0.025062498798072874
1953	5	3	t39	There are fewer climate problems elsewhere.	agrees	disagrees	neutral	disagrees	disagrees	neutral	neutral	disagrees	0.7737653801311848	0.0060993654201973	0.2201352544486177	5_3_t39	False	-0.025062498798072874
1449	4	3	t9	Climate-change skeptics earn mainstream adherents last year, as global temperatures hung perilously close to falling beneath even the lowest model projections.	neutral	disagrees	agrees	agrees	agrees	disagrees	disagrees	agrees	0.4505852573263972	0.4607606536046464	0.0886540890689565	4_3_t9	False	-0.025062498798072874
1647	4	7	t7	Eco-towns could provide an inspiring blueprint for low-carbon living.	neutral	neutral	agrees	agrees	agrees	neutral	neutral	disagrees	0.008595610160145	0.213614139019393	0.7777902508204618	4_7_t7	False	-0.025062498798072874
1645	4	7	t5	Recent global warming is likely due to natural causes.	neutral	agrees	agrees	disagrees	neutral	neutral	neutral	agrees	0.0772945198134289	0.04641601460154	0.876289465585031	4_7_t5	False	-0.025062498798072874
1644	4	7	t44	Policies designed to curb global warming would hurt the economy.	neutral	disagrees	neutral	disagrees	disagrees	disagrees	neutral	agrees	0.8469064325711211	0.0026357045254225	0.1504578629034564	4_7_t44	False	-0.025062498798072874
